epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2479.48,1.63099,1.27891,1.1136,0.71407,0.60476,0.63823,0.35435,1.4078,0.84221,1.04431,0.00047373,0.00047373,0.00047373
2,4955.83,1.49143,0.86987,1.07168,0.72116,0.60014,0.65259,0.36443,1.41417,0.864,1.06207,0.000931252,0.000931252,0.000931252
3,7373.72,1.4856,0.85393,1.07287,0.73788,0.629,0.66512,0.38177,1.37222,0.78907,1.04879,0.00136991,0.00136991,0.00136991
4,13550,1.42573,0.80588,1.04872,0.78842,0.6412,0.68242,0.39489,1.33553,0.78323,1.03328,0.00134412,0.00134412,0.00134412
5,16004.5,1.40521,0.76282,1.04029,0.73094,0.66787,0.66884,0.3995,1.33451,0.74721,1.01363,0.00131582,0.00131582,0.00131582
6,18472.8,1.36184,0.74135,1.02637,0.81793,0.67904,0.72334,0.43485,1.25423,0.69613,1.00439,0.00128753,0.00128753,0.00128753
7,21207,1.3407,0.71322,1.01691,0.81986,0.69345,0.73,0.44654,1.28818,0.68504,1.01468,0.00125923,0.00125923,0.00125923
8,23670,1.30557,0.6909,1.00718,0.82075,0.69544,0.73653,0.45233,1.2396,0.65244,0.99962,0.00123094,0.00123094,0.00123094
9,26127.9,1.28988,0.67702,1.00103,0.82747,0.70694,0.74982,0.47394,1.19983,0.63768,0.98175,0.00120265,0.00120265,0.00120265
10,33156.8,1.27455,0.65869,0.99952,0.80903,0.72159,0.75709,0.49099,1.17623,0.61249,0.97674,0.00117435,0.00117435,0.00117435
11,35603.3,1.25299,0.65329,0.99012,0.83824,0.71137,0.74673,0.46918,1.19443,0.6123,0.98098,0.00114606,0.00114606,0.00114606
12,38063.9,1.24583,0.63339,0.98934,0.845,0.72429,0.7558,0.48523,1.15616,0.59986,0.96732,0.00111776,0.00111776,0.00111776
13,40496.6,1.22952,0.62273,0.97765,0.83652,0.70551,0.73992,0.47043,1.19737,0.61666,0.97759,0.00108947,0.00108947,0.00108947
14,42947,1.22046,0.61894,0.97531,0.83315,0.74006,0.76953,0.50919,1.12769,0.57773,0.95875,0.00106118,0.00106118,0.00106118
15,45399.9,1.20022,0.6042,0.97079,0.9041,0.73889,0.78157,0.52444,1.11215,0.54307,0.94578,0.00103288,0.00103288,0.00103288
16,47846.2,1.19493,0.59447,0.96695,0.85514,0.7524,0.77526,0.5194,1.11407,0.5426,0.95448,0.00100459,0.00100459,0.00100459
17,50320.4,1.17131,0.58439,0.9611,0.84908,0.72469,0.76396,0.50656,1.12653,0.56792,0.95468,0.000976293,0.000976293,0.000976293
18,52775.8,1.15347,0.57261,0.95801,0.90894,0.74303,0.78424,0.51768,1.14281,0.55284,0.95262,0.000947999,0.000947999,0.000947999
19,55255.4,1.1628,0.56902,0.95649,0.87587,0.75988,0.78207,0.53348,1.06992,0.52616,0.93817,0.000919704,0.000919704,0.000919704
20,57720.8,1.12309,0.55302,0.94687,0.90309,0.74127,0.78408,0.53606,1.08959,0.53253,0.94228,0.00089141,0.00089141,0.00089141
21,60189.7,1.12845,0.55609,0.94967,0.91619,0.73737,0.77808,0.53167,1.08351,0.52982,0.94369,0.000863116,0.000863116,0.000863116
22,62647.8,1.11492,0.54922,0.94993,0.89407,0.75141,0.78461,0.54611,1.0467,0.50579,0.93158,0.000834822,0.000834822,0.000834822
23,65123.7,1.10436,0.53871,0.94215,0.93644,0.75613,0.79388,0.54096,1.06636,0.5135,0.93593,0.000806528,0.000806528,0.000806528
24,67607.8,1.09843,0.53887,0.94086,0.93977,0.75777,0.79415,0.5492,1.03744,0.4974,0.92943,0.000778233,0.000778233,0.000778233
25,70080.6,1.07888,0.52353,0.93532,0.92924,0.7489,0.78581,0.54931,1.02539,0.49483,0.92048,0.000749939,0.000749939,0.000749939
26,72539.6,1.07932,0.51959,0.93527,0.89805,0.7409,0.77467,0.51838,1.12789,0.53399,0.9477,0.000721645,0.000721645,0.000721645
27,74996.2,1.07714,0.52134,0.93509,0.92079,0.76844,0.80004,0.56394,1.00594,0.4877,0.91915,0.000693351,0.000693351,0.000693351
28,77409.2,1.06254,0.51478,0.93312,0.95408,0.76853,0.80295,0.56679,0.99788,0.47481,0.91446,0.000665057,0.000665057,0.000665057
29,79877.4,1.05334,0.50996,0.92657,0.92917,0.7807,0.80275,0.56164,1.00919,0.48278,0.91901,0.000636762,0.000636762,0.000636762
30,82321.7,1.03695,0.50635,0.92372,0.95295,0.77379,0.80669,0.56565,1.01066,0.47951,0.91954,0.000608468,0.000608468,0.000608468
31,84762.6,1.02983,0.49849,0.92218,0.94506,0.77679,0.80135,0.56323,1.01618,0.47122,0.91976,0.000580174,0.000580174,0.000580174
32,87162.8,1.02551,0.49447,0.92013,0.95748,0.77759,0.80968,0.57252,1.01323,0.47115,0.91627,0.00055188,0.00055188,0.00055188
33,89614,1.01598,0.48748,0.91482,0.94155,0.78758,0.80657,0.57623,0.98658,0.46084,0.90965,0.000523586,0.000523586,0.000523586
34,92061.2,1.00669,0.48381,0.91583,0.95354,0.77651,0.8101,0.57782,0.98772,0.45998,0.91136,0.000495291,0.000495291,0.000495291
35,94501.2,0.99373,0.47826,0.91123,0.95134,0.79145,0.81689,0.58314,0.97301,0.4549,0.9086,0.000466997,0.000466997,0.000466997
36,96952.4,0.99582,0.47752,0.91,0.97146,0.77803,0.80941,0.58382,0.97058,0.45082,0.9069,0.000438703,0.000438703,0.000438703
37,99407.8,0.9857,0.47041,0.90821,0.96146,0.77988,0.80857,0.58813,0.96268,0.44151,0.90371,0.000410409,0.000410409,0.000410409
38,101876,0.97345,0.46822,0.906,0.93742,0.78391,0.80844,0.58544,0.96326,0.43988,0.90445,0.000382115,0.000382115,0.000382115
39,104332,0.9678,0.46403,0.90311,0.94781,0.78508,0.8152,0.59182,0.95079,0.4383,0.90197,0.00035382,0.00035382,0.00035382
40,106808,0.95234,0.4559,0.89998,0.95473,0.79115,0.81594,0.5936,0.94337,0.43576,0.89725,0.000325526,0.000325526,0.000325526
41,109206,0.94441,0.44073,0.90349,0.94675,0.7827,0.81158,0.58848,0.96051,0.43805,0.90175,0.000297232,0.000297232,0.000297232
42,111611,0.92563,0.43318,0.89758,0.96305,0.78003,0.81421,0.59237,0.95311,0.43584,0.90227,0.000268938,0.000268938,0.000268938
43,114004,0.91096,0.42422,0.89239,0.96918,0.78398,0.81508,0.58842,0.97079,0.43389,0.90335,0.000240644,0.000240644,0.000240644
